measurements_bins_a,measurements_bins_b,glacier_bins_a,glacier_bins_b,year
0,0,0,0,1884
11,0,1,0,1885
19,0,1,0,1886
21,0,1,0,1887
16,0,1,0,1888
16,0,1,0,1889
16,0,1,0,1890
17,0,1,0,1891
15,0,1,0,1892
16,0,1,0,1893
17,0,1,0,1894
16,0,1,0,1895
14,0,1,0,1896
15,0,1,0,1897
13,0,1,0,1898
17,0,1,0,1899
17,0,1,0,1900
18,0,1,0,1901
17,0,1,0,1902
17,0,2,0,1903
17,1,2,1,1904
18,1,2,1,1905
18,1,2,1,1906
19,2,3,2,1907
17,3,4,3,1908
16,3,4,3,1909
12,3,4,3,1910
3,3,3,3,1911
2,3,2,2,1912
7,9,3,3,1913
7,2,3,2,1914
10,5,4,3,1915
13,5,6,4,1916
12,8,6,5,1917
10,7,6,5,1918
8,9,5,6,1919
15,8,6,5,1920
14,11,7,7,1921
15,10,8,7,1922
10,10,7,7,1923
9,10,6,7,1924
10,10,7,7,1925
12,10,8,7,1926
12,12,9,8,1927
13,12,10,9,1928
12,10,8,7,1929
10,10,7,7,1930
10,8,7,6,1931
9,8,6,6,1932
8,8,6,5,1933
10,8,7,5,1934
6,5,5,4,1935
8,6,5,4,1936
7,6,5,4,1937
7,6,5,4,1938
7,6,5,4,1939
9,10,6,6,1940
9,9,6,5,1941
9,9,6,5,1942
9,9,6,5,1943
12,9,6,4,1944
7,6,4,3,1945
12,9,6,4,1946
12,9,6,3,1947
12,11,6,3,1948
27,9,8,3,1949
27,9,8,3,1950
32,9,8,3,1951
15,10,6,4,1952
22,10,6,4,1953
46,10,8,4,1954
81,32,10,7,1955
115,41,16,12,1956
92,45,16,13,1957
94,45,16,13,1958
101,47,15,13,1959
141,45,15,13,1960
122,35,14,11,1961
196,47,16,12,1962
174,47,15,12,1963
190,54,14,14,1964
170,37,13,11,1965
179,35,13,10,1966
172,37,14,11,1967
171,18,9,5,1968
185,20,9,6,1969
379,21,11,7,1970
376,20,11,6,1971
362,21,10,7,1972
363,26,12,10,1973
252,25,12,10,1974
349,25,12,10,1975
254,25,12,10,1976
264,26,9,10,1977
281,27,12,13,1978
272,17,13,8,1979
323,135,15,14,1980
315,153,16,11,1981
283,109,15,14,1982
233,22,13,10,1983
240,25,13,12,1984
52,24,9,12,1985
37,16,10,10,1986
46,16,10,10,1987
47,16,10,10,1988
48,14,12,10,1989
53,13,12,9,1990
51,15,12,10,1991
62,17,14,8,1992
44,19,11,9,1993
38,20,8,8,1994
50,21,9,8,1995
51,22,10,8,1996
146,15,12,5,1997
124,12,12,4,1998
114,14,12,4,1999
70,12,13,3,2000
77,12,12,3,2001
91,14,12,4,2002
102,16,15,4,2003
130,37,14,6,2004
135,1582,15,9,2005
167,184,17,8,2006
186,762,20,10,2007
149,1316,19,9,2008
158,2945,20,10,2009
174,3609,20,12,2010
158,1631,21,11,2011
174,3522,26,15,2012
211,4000,29,18,2013
222,5977,31,17,2014
203,2303,31,19,2015
203,1606,30,19,2016
172,1811,26,19,2017
168,2330,25,17,2018
174,1390,23,17,2019
